question,sql
What season episode is directed by Skipp Sudduth?,SELECT Season # FROM table WHERE Directed by = Skipp Sudduth
How many titles are given for the episode directed by Joanna Kerns?,SELECT COUNT Title FROM table WHERE Directed by = Joanna Kerns
What is the original air date of the episode directed by Terrence Nightingall?,SELECT Original air date FROM table WHERE Directed by = Terrence Nightingall
"What is the season number for ""Impulse Control""?","SELECT MIN Season # FROM table WHERE Title = ""Impulse Control"""
Which seasons were directed by Nelson McCormick?,SELECT Title FROM table WHERE Directed by = Nelson McCormick
Which season titles were directed by Laura Innes?,SELECT Title FROM table WHERE Directed by = Laura Innes
Which episodes did Nelson McCormick direct?,SELECT Written by FROM table WHERE Directed by = Nelson McCormick
How many episodes were there in season 19?,SELECT COUNT Title FROM table WHERE Season # = 19
In which season did Paul McCrane first direct an episode?,SELECT MIN Season # FROM table WHERE Directed by = Paul McCrane
On which dates did the episodes directed by TR Babu Subramaniam air?,SELECT Original air date FROM table WHERE Directed by = TR Babu Subramaniam
"Who directed the episode titled ""the advocate""?","SELECT Directed by FROM table WHERE Title = ""The Advocate"""
What is the fewest number of games lost?,SELECT MIN Lost FROM table
What is the goal average 1 for teams that lost 9 games?,SELECT Goal Average 1 FROM table WHERE Lost = 9
How many teams finished with a 2nd points total of 31?,SELECT COUNT Position FROM table WHERE Points 2 = 31
How many games drawn for the team that had 72 goals for?,SELECT MAX Drawn FROM table WHERE Goals For = 72
How many games with record 1-3-3,SELECT COUNT Game FROM table WHERE Record = 1-3-3
How many attended on mathches against atlanta thrashers,SELECT COUNT Attendance FROM table WHERE Opponent = Atlanta Thrashers
Give the date of games against minnesota wild,SELECT Date FROM table WHERE Opponent = Minnesota Wild
State the dates of games with record 1-2-3,SELECT Date FROM table WHERE Record = 1-2-3
What is the minimum attendance on games of record 0-2-1,SELECT MIN Attendance FROM table WHERE Record = 0-2-1
Which venue does Mardan sponsor?,SELECT Venue FROM table WHERE Shirt sponsor = Mardan
Erdoğan Arıca is the head coach at what venue?,SELECT Venue FROM table WHERE Head coach = Erdoğan Arıca
Who is the club chairman of the team that Murat Erdoğan is the captain of?,SELECT Club Chairman FROM table WHERE Team captain = Murat Erdoğan
How many points were scored when the record was 6-8-6?,SELECT COUNT Points FROM table WHERE Record = 6-8-6
Which game had a record of 6-9-7?,SELECT Game FROM table WHERE Record = 6-9-7
"When they played at the Bankatlantic Center, what was their record?",SELECT Record FROM table WHERE Location = BankAtlantic Center
Who was the opponent on December 27?,SELECT Opponent FROM table WHERE Date = December 27
What was the score of the game on December 11?,SELECT Score FROM table WHERE Date = December 11
What was the record when the opposing team was the Columbus Blue Jackets at St. Pete Times Forum?,SELECT Record FROM table WHERE Location = St. Pete Times Forum AND Opponent = Columbus Blue Jackets
What was the score when the record was 21-31-13?,SELECT Score FROM table WHERE Record = 21-31-13
How many locations were recorded when the opponent Columbus Blue Jackets?,SELECT COUNT Location FROM table WHERE Opponent = Columbus Blue Jackets
What was the attendance when the opposing team was the Ottawa Senators  and the record was 24-35-17?,SELECT MAX Attendance FROM table WHERE Opponent = Ottawa Senators AND Record = 24-35-17
The player who plays left wing is from what college/junior/club team? ,SELECT College/Junior/Club Team (League) FROM table WHERE Position = Left Wing
The player who plays goaltender is from what college/junior/club team? ,SELECT College/Junior/Club Team (League) FROM table WHERE Position = Goaltender
How many were played when there were 39 tries for? ,SELECT Played FROM table WHERE Tries for = 39
How many were won when the points were 12? ,SELECT COUNT Won FROM table WHERE Points = 12
How many were won when there were 49 points? ,SELECT Won FROM table WHERE Points = 49
How many points were there when tries for were 84? ,SELECT Points FROM table WHERE Tries for = 84
what team play in february 18 in the supersonic season ,SELECT Team FROM table WHERE Date = February 18
what is the score in february 12 of the boston celtics team,SELECT Score FROM table WHERE Team = Boston Celtics
Who is the opposing team when the game was played on the Shea Stadium?,SELECT Opponent FROM table WHERE Stadium = Shea Stadium
How many games or records were played on the Miami Orange Bowl?,SELECT COUNT Record FROM table WHERE Stadium = Miami Orange Bowl
"What was the result of the game that was played on Nov. 26, 1972?",SELECT Result FROM table WHERE Date = Nov. 26
What are all Tamil months when the season in English is monsoon?,SELECT Tamil Months FROM table WHERE Season in English = Monsoon
"What is every English translation when Tamil months is Mārkazhi, Tai?","SELECT English Translation FROM table WHERE Tamil Months = mārkazhi, tai"
What is every Gregorian month when the season in Tamil is இளவேனில்?,SELECT Gregorian Months FROM table WHERE Season in Tamil = இளவேனில்
How many seasons in Tamil occur when the season in Sanskrit is Grishma?,SELECT COUNT Season in Tamil FROM table WHERE Season in Sanskrit = Grishma
Which departments have M.Phil(Maths)?,SELECT Department FROM table WHERE Qualification = M.Phil(Maths)
How many faculty members have 20 years of experience? ,SELECT COUNT Designation FROM table WHERE Experience = 20 years
Name the power provided for transfer speed mb/s is 1250,SELECT Power provided FROM table WHERE Transfer speed (MB/s) = 1250
Name the devices per channel for 2560,SELECT Devices per channel FROM table WHERE Raw bandwidth (Mbit/s) = 2560
Name the power provided where transfer speed mb/s is 300 and max cable length of 10,SELECT Power provided FROM table WHERE Transfer speed (MB/s) = 300 AND Max. cable length (m) = 10
Name the colorado when alaska is connecticut,SELECT Colorado FROM table WHERE Alaska = Connecticut
Name the california where alaska tennessee,SELECT California FROM table WHERE Alaska = Tennessee
Name the date for score of 95-101,SELECT Date FROM table WHERE Score = 95-101
Name the high rebounds for march 15,SELECT High rebounds FROM table WHERE Date = March 15
Name the score for record of 2-5,SELECT Score FROM table WHERE Record = 2-5
How many schools won their last occ championship in 2006?,SELECT COUNT School FROM table WHERE Last OCC Championship = 2006
What are the years of participation for central crossing school?,SELECT Years of Participation FROM table WHERE School = Central Crossing
What is the fewest number of occ championships for the team that last won an outright occ championship in 2006?,SELECT MIN OCC Championships FROM table WHERE Last Outright OCC Championship = 2006
What are the years of participation for pickerington north?,SELECT Years of Participation FROM table WHERE School = Pickerington North
Name the event for redouane bouchtouk,SELECT Event FROM table WHERE Athlete = Redouane Bouchtouk
Name the round 16 for did not advance and light flyweight,SELECT Round of 16 FROM table WHERE Quarterfinals = Did not advance AND Event = Light flyweight
Name the athelte for enkhzorig ( mgl ) l 1–10,SELECT Athlete FROM table WHERE Round of 32 = Enkhzorig ( MGL ) L 1–10
Who did Abdelhafid Benchebla face in the quarterfinals?,SELECT Quarterfinals FROM table WHERE Athlete = Abdelhafid Benchebla
